time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W,soc
0,22.0,24.0,22.0,600.0,0.0,0.0,0.1,0.5,32.0,3.0,8.0,600.0,0.0,0.0,0.0,0.2
1,23.009900157440597,24.075903289707185,22.367173303015306,888.0,0.5503223067916634,0.0,0.9999999748966518,0.38356688826485097,32.0,3.0,8.0,600.0,0.30000000000000004,0.0,0.30000000000000004,0.19833333333333333
2,22.908039087593636,24.18639946069561,12.827662294256527,803.345747933377,0.5356519631129669,0.0,1.0000000099871085,0.41190104348422574,32.0,3.0,8.0,600.0,728.3404951271416,428.3405177201543,299.9999774069872,0.19666666666666668
3,22.410730203517176,24.265151003355356,8.628777324046553,802.7521021408729,0.5274916793401057,0.0,1.0000000099200623,0.41196251350671925,32.0,3.0,8.0,600.0,715.3113731826053,415.3113731826053,300.0,0.195
4,21.80913900913896,24.28569988551766,6.682147517174428,802.6553233502884,0.577425815441691,0.0,0.7485374698281684,0.22281049563520078,32.0,3.0,8.0,600.0,708.1074716581311,408.10747165813103,300.0,0.19333333333333336
5,21.677768985378975,24.31689598790956,5.699802399901387,805.8395558342293,0.5986613228835047,0.0,0.6496655983874423,0.10724096867693214,32.0,3.0,8.0,600.0,578.5031686254773,452.6796316421804,125.82353698329692,0.19166666666666668
6,21.72565248052223,24.364630782636766,5.280345477645199,807.4596255552764,0.5909477980369346,0.0,0.659167478190707,0.11579904721832804,32.0,3.0,8.0,600.0,554.256478260366,471.9960690674628,82.26040919290315,0.19
7,21.745826670127713,24.414872374801405,5.113516127008893,806.3588031555664,0.5912662119192054,0.0,0.6509196857955308,0.10556993553572382,32.0,3.0,8.0,600.0,550.8770995674477,464.9542698936849,85.92282967376275,0.18833333333333335
8,21.75646323910439,24.444998013671295,5.045733301259588,806.4402422712353,0.5957538687241164,0.0,0.6335268931400861,0.08270189069369893,32.0,3.0,8.0,600.0,547.9820860852124,465.2443805222466,82.7377055629658,0.18666666666666668
9,21.759630825410113,24.440623670815057,5.018269940285222,807.009328228297,0.5914919877137814,0.0,0.6463087712683979,0.09925421000019927,32.0,3.0,8.0,600.0,545.6194025546337,469.33839499583195,76.28100755880173,0.185
10,21.760418884805006,24.455964977065946,5.007354460243107,806.6075766781651,0.5862658283035056,0.0,0.6629057562335963,0.12101976388141289,32.0,3.0,8.0,600.0,546.4419833285128,465.4501174176035,80.99186591090928,0.18333333333333335
11,21.763131189741557,24.497662713430657,5.002981929053476,806.2490275271995,0.5844669828639556,0.0,0.6686833885120171,0.12852974347321625,32.0,3.0,8.0,600.0,548.0871603136085,460.6941648883762,87.39299542523227,0.18166666666666667
12,21.767805453070423,24.545519670289764,5.001210335450253,806.1398757998866,0.5865020972423859,0.0,0.6618108514626406,0.11975425922808251,32.0,3.0,8.0,600.0,548.7582527448598,459.06023235692646,89.69802038793334,0.18
13,21.77263737547088,24.577451692689465,5.00048841222474,806.2089794985519,0.5914566841666135,0.0,0.645268336792016,0.09848265742721615,32.0,3.0,8.0,600.0,547.8695657689028,460.90888994534146,86.96067582356137,0.17833333333333334
14,21.774308974633357,24.577145459382223,5.000194521590686,806.6546890669498,0.5906652275345888,0.0,0.6480339144435256,0.10188269020550135,32.0,3.0,8.0,600.0,546.0192962625653,465.41794562557016,80.60135063699506,0.17666666666666667
15,21.773673653997037,24.579373460871807,5.0000766706160675,806.6052496121132,0.5852086361105056,0.0,0.6663721173481834,0.12531877521914822,32.0,3.0,8.0,600.0,546.3390129308134,464.69685793056647,81.64215500024699,0.17500000000000002
16,21.774856072922887,24.611783536609778,5.000029506034025,806.1546294766912,0.5827241520606233,0.0,0.6747106202678336,0.13600893222833435,32.0,3.0,8.0,600.0,548.5048241923784,459.7337029829687,88.77112120940971,0.17333333333333334
17,21.77857187097851,24.655726443570472,5.0000103800716715,806.0126231763476,0.5839397326102395,0.0,0.6705527195817378,0.13083093199583315,32.0,3.0,8.0,600.0,549.6241236587729,457.47867407003184,92.14544958874102,0.1716666666666667
18,21.783054626637067,24.688862435526232,5.000002571041932,806.0428918908041,0.5883846006773653,0.0,0.6554951404024164,0.11176860733558733,32.0,3.0,8.0,600.0,549.0340044891464,458.5816159844134,90.4523885047329,0.17
19,21.785468136151508,24.69288776610631,5.0,806.3545205287861,0.5905141304027934,0.0,0.6483737233641743,0.10263266806392171,32.0,3.0,8.0,600.0,547.1154495598495,462.62070764921157,84.49474191063788,0.16833333333333333
20,21.784368298675474,24.682295755625717,5.0,806.6312962837541,0.5847335421689024,0.0,0.6681763417146099,0.12748965101668744,32.0,3.0,8.0,600.0,546.3298838258577,464.5592296131892,81.7706542126685,0.16666666666666669
21,21.784387325422756,24.705131699546314,5.0,806.0946585211495,0.5815521727403806,0.0,0.678943925435223,0.1411761337078988,32.0,3.0,8.0,600.0,548.796382722773,459.302255311238,89.49412741153503,0.165
22,21.787250313422078,24.744644373453013,5.0,805.9224077197454,0.5819330679917282,0.0,0.6776086030394257,0.1395766402495701,32.0,3.0,8.0,600.0,550.3067561197026,456.41596990431646,93.89078621538613,0.16333333333333333
23,21.791383763537624,24.77867711998715,5.0,805.9164798670802,0.5858109177997988,0.0,0.6643591535398103,0.12293921884225682,32.0,3.0,8.0,600.0,550.0991697448444,456.76127771371165,93.33789203113278,0.16166666666666668
24,21.794538494774258,24.78729879282048,5.0,806.0936659161155,0.5907398518382153,0.0,0.6475070369925877,0.10175186644613637,32.0,3.0,8.0,600.0,548.249885792674,460.28081107041623,87.96907472225776,0.16
25,21.79305484669942,24.76443220581217,5.0,806.6795788377979,0.5847168079655222,0.0,0.6684026160248593,0.12767020172627297,32.0,3.0,8.0,600.0,546.2080161795005,464.7648343153318,81.44318186416871,0.15833333333333333
26,21.7919476149342,24.777559402891484,5.0,806.0658418254515,0.5808912233033482,0.0,0.6813980918701166,0.14412620061949105,32.0,3.0,8.0,600.0,548.8721387651497,459.2870604514836,89.58507831366597,0.15666666666666668
27,21.793935702589692,24.812162046573633,5.0,805.8657924600897,0.5804556104774017,0.0,0.6829151856256727,0.14603003440886264,32.0,3.0,8.0,600.0,550.7295670133581,455.81694002839487,94.91262698496325,0.155
28,21.7976863786389,24.84671039782603,5.0,805.8221819888054,0.5835992900971009,0.0,0.6720207313827081,0.1325419865664534,32.0,3.0,8.0,600.0,550.9702440148739,455.4222519686249,95.54799204624894,0.15333333333333335
29,21.801126840550694,24.86004583573407,5.0,805.9355796911559,0.5889956289033189,0.0,0.6533023669016672,0.10933355626503803,32.0,3.0,8.0,600.0,549.3204080306701,458.2726476060743,91.04776042459578,0.15166666666666667
30,21.800312145738417,24.838753112488916,5.0,806.5141518929152,0.5849684967849935,0.0,0.6674618568294579,0.12667658656492872,32.0,3.0,8.0,600.0,546.8263198521332,463.176704241575,83.64961561055824,0.15000000000000002
31,21.79872455190599,24.841676806189753,5.0,806.1101649169012,0.5805645477973911,0.0,0.6827051542349319,0.14562927935372294,32.0,3.0,8.0,600.0,548.7229557804325,459.51561127914397,89.20734450128855,0.14833333333333334
32,21.799822788657366,24.8704790619322,5.0,805.8280194820283,0.5793252811828217,0.0,0.6870511228567203,0.15098434927048812,32.0,3.0,8.0,600.0,550.9808077553442,455.52094630017933,95.45986145516488,0.14666666666666667
33,21.803102790790035,24.904662651914805,5.0,805.7478820289542,0.5816640963730857,0.0,0.6788153759810184,0.1409528703051227,32.0,3.0,8.0,600.0,551.6930696504933,454.39854157129025,97.29452807920296,0.14500000000000002
34,21.806589891544604,24.92226310753267,5.0,805.8240688753147,0.5866592363150168,0.0,0.661280349526889,0.11946520134533913,32.0,3.0,8.0,600.0,550.354894330345,456.51742912036275,93.83746520998224,0.14333333333333334
35,21.806789923498684,24.907476697694563,5.0,806.2803655426318,0.585420387254907,0.0,0.6657554023046893,0.1248087850509299,32.0,3.0,8.0,600.0,547.8034380867523,461.0517154873925,86.75172259935982,0.14166666666666666
36,21.80496140796913,24.899789923753588,5.0,806.1851861350943,0.5805155975752457,0.0,0.6830329569913925,0.14592937730103822,32.0,3.0,8.0,600.0,548.4509172212137,459.9260360624882,88.52488115872548,0.14
37,21.80513141757973,24.92188911214504,5.0,805.8060318893564,0.578503475686009,0.0,0.6901111749899751,0.1546055685129914,32.0,3.0,8.0,600.0,551.0740314185442,455.4765979843069,95.59743343423726,0.13833333333333334
38,21.807843689109177,24.954709946286982,5.0,805.6920750521201,0.5800237438395821,0.0,0.6846835260479068,0.14809146876756954,32.0,3.0,8.0,600.0,552.2549853069768,453.6546402596256,98.60034504735114,0.13666666666666666
