time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
0,22.0,24.0,22.0,600.0,0.0,0.0,0.1,0.5,32.0,3.0,8.0,600.0,883.34611280623,0.2
1,23.009900157440597,24.075903289707185,22.367173303015306,888.0,0.5831513489411724,0.0,0.9999999491838534,0.6725280572793535,32.0,3.0,8.0,600.0,0.0,0.19833333333333333
2,22.701557431580852,24.18639946069561,10.687512089393351,983.6575181262147,0.38757196079140244,0.0,1.0000000099234736,0.5897627018301771,32.0,3.0,8.0,600.0,457.86620436802326,0.19666666666666668
3,22.399525329975177,24.25689173711487,10.170229424720503,975.346401687273,0.2840060039713326,0.0,1.0000000098461945,0.5445136374130398,32.0,3.0,8.0,600.0,289.2219039399396,0.195
4,22.347552395222408,24.27732279498514,12.360885849453894,938.0761183802159,0.3090052414275175,0.0,1.0000000099685724,0.5554947465436237,32.0,3.0,8.0,600.0,206.516275598491,0.19333333333333336
5,22.379269702982754,24.330390516441696,12.707713760063996,931.0260432998247,0.3314832760164305,0.0,1.0000000099781363,0.5653358990905929,32.0,3.0,8.0,600.0,226.0903953968974,0.19166666666666668
6,22.395721402816548,24.40564555873175,12.325166579932443,934.8598090968779,0.32718884749031935,0.0,1.0000000099755753,0.5634585244717996,32.0,3.0,8.0,600.0,243.89924587838433,0.19
7,22.41270857186811,24.48104931674436,12.267623173786603,935.1829280924532,0.3183776262450308,0.0,1.0000000099736133,0.5596137800134651,32.0,3.0,8.0,600.0,240.48142181380928,0.18833333333333335
8,22.43289356597643,24.535203154006126,12.467073496491992,932.6769783534795,0.32238323495177,0.0,1.0000000099724267,0.5613573862657083,32.0,3.0,8.0,600.0,233.49169045751015,0.18666666666666668
9,22.418558688772066,24.554277818611354,12.462062429462435,932.8343519716541,0.32960462883139163,0.0,1.000000009971945,0.564505768654459,32.0,3.0,8.0,600.0,236.66543706893117,0.185
10,22.411055724260336,24.591430073484844,12.273420844939324,935.0524827456753,0.3317240502324903,0.0,1.0000000099736364,0.5654302174988899,32.0,3.0,8.0,600.0,242.4031772463875,0.18333333333333335
11,22.422717383347504,24.653734679571016,12.130365347037241,936.6174888744155,0.32871900662717285,0.0,1.0000000099746178,0.5641200605739072,32.0,3.0,8.0,600.0,244.09108899819296,0.18166666666666667
12,22.44686414067297,24.721732205528724,12.14274259295621,936.373222531695,0.32370583837467354,0.0,1.000000009974166,0.5619401781771015,32.0,3.0,8.0,600.0,241.6983950848797,0.18
13,22.47091558411512,24.77377807402297,12.281888609356997,934.7700733898947,0.32519534622452945,0.0,1.000000009972629,0.5625856855352227,32.0,3.0,8.0,600.0,237.71476226529762,0.17833333333333334
14,22.46571141779833,24.793549913808135,12.315216547968987,934.5463417114629,0.3319736473419811,0.0,1.000000009971492,0.5655262675508688,32.0,3.0,8.0,600.0,238.89733496702283,0.17666666666666667
15,22.45091378447694,24.81477783484729,12.15777182500392,936.4705155762291,0.3351881495219041,0.0,1.000000009972542,0.5669226935291669,32.0,3.0,8.0,600.0,244.2899863599674,0.17500000000000002
16,22.457372491856233,24.864861340845437,11.999393564634204,938.2416358997548,0.33318188252352454,0.0,1.0000000099739452,0.5660509584823498,32.0,3.0,8.0,600.0,246.8537578689824,0.17333333333333334
17,22.478266327837446,24.925981792394055,11.97800349059412,938.3876876687714,0.32821269712304235,0.0,1.0000000099738515,0.5638972473478837,32.0,3.0,8.0,600.0,245.25314804021147,0.1716666666666667
18,22.502561171266905,24.97629534867127,12.099326169354072,936.9606242910158,0.3267196807365748,0.0,1.0000000099725967,0.563251475290133,32.0,3.0,8.0,600.0,241.29561171938465,0.17
19,22.50717123910664,24.99760362451076,12.200141290149077,935.9182376347585,0.3335556840630732,0.0,1.0000000099712196,0.5662041553205416,32.0,3.0,8.0,600.0,240.10846813151448,0.16833333333333333
20,22.485758601457235,25.00369110381223,12.075139658511489,937.5139873943483,0.3379765028031504,0.0,1.0000000099716582,0.5681177376016672,32.0,3.0,8.0,600.0,245.5512470593586,0.16666666666666669
21,22.486825849748243,25.041726845916628,11.899713276831847,939.5071717961438,0.3369371921645313,0.0,1.0000000099733746,0.5676672635833415,32.0,3.0,8.0,600.0,249.08098962080211,0.165
22,22.504074735458744,25.095873254941523,11.844560791060132,940.0405622352025,0.3320885369964193,0.0,1.0000000099736057,0.5655714281273428,32.0,3.0,8.0,600.0,248.25046403878082,0.16333333333333333
23,22.5282890637244,25.14452982309757,11.945983780003417,938.8132572116123,0.3276667911437936,0.0,1.0000000099726276,0.5636649571371258,32.0,3.0,8.0,600.0,244.38154723904262,0.16166666666666668
24,22.54280436465092,25.16799359981394,12.111787581329281,936.978050780604,0.33444798291792716,0.0,1.0000000099710327,0.5665829299587594,32.0,3.0,8.0,600.0,240.86144232926938,0.16
